listing_id,title,description,listing_type,property_type,category_original,district,location,address,price_lkr,price_basis,sale_total_price_lkr,rent_monthly_lkr,bedrooms,bathrooms,land_size_perches,house_size_sqft,property_size_sqft,land_type,property_subtype,features,posted_date,deactivation_date,geo_region,is_verified,membership_level,member_since,contact_number
sell-house-in-delgoda-for-sale-gampaha,House for Sale in Delgoda,Pradana pare sita 300m.niraul oppu.ge samaga anex ekakuth atha.wisthara sadaha amathanna.mudal hadissiyakata denne.,sale,house,Houses For Sale,Gampaha,Delgoda,"92/1,kammalwaththa,delgoda",8500000.0,total,8500000.0,,3,2,12.5,8000.0,,,,,2022-12-07,2023-01-31,LK-12,false,free,,Not mentioned in ad
brand-new-house-sale-in-negombo-area-for-sale-gampaha-198,brand new house sale in negombo area,clear deed pure main water parapet wall 3 bed Rooms 2 luxury bath Rooms with all veranda car poach Roller gate peace full area 1 km to A9 puttlam colombo Road 1.25 km to...,sale,house,Houses For Sale,Gampaha,Negombo,DALUWAKOTUWA,22500000.0,total,22500000.0,,3,2,10.0,1450.0,,,,,2023-01-28,2023-03-29,LK-12,true,premium,June 2016,Not mentioned in ad
annex-for-rent-in-polonnaruwa-for-rent-polonnaruwa,Annex For Rent In Polonnaruwa,Annex For Rent In Polonnaruwa =========================== * Location - Polonnaruwa * Beds - 02 * Baths - 01 * Property type - Annex * Features - Private entrance * Rent...,rent,room_annex,Room & Annex Rentals,Polonnaruwa,Polonnaruwa City,,17000.0,per_month,,17000.0,2,1,,,,,Annex,Private entrance,2022-12-22,2023-02-20,LK-72,false,free,June 2022,Not mentioned in ad
land-for-sale-kosgama-for-sale-colombo-719,Land for Sale Kosgama,️නිස්කලංක තැනකින් පදිංචියට හොඳම බිම් කොටස් - කොස්ගම 📌 ️ප්‍රධාන බස් පාර සමීපයෙන්ම 📌️ පොලී නැතුව ගෙවන්න ගන්නත් පුලුවන්,sale,land,Land For Sale,Colombo,Avissawella,avissawella kosgama,250000.0,per_perch,2500000.0,,,,10.0,,,"Commercial, Residential, Other",,,2022-12-28,2023-02-26,LK-11,false,premium,October 2022,Not mentioned in ad
ds29-land-with-house-for-sale-rajagiriya-kalapaluwawa-for-sale-colombo-5,DS29/ Land with House for Sale Rajagiriya Kalapaluwawa,super land for sale kalapaluwawa rajagiriya road access 20 feet per perch price 2.2 million negotiable (22lak) කලපලුවාව ප්‍රධාන පාට ඉතා ආසන්න මෙම ඉඩම ඉතා ඉක්මනින් විකිනි...,sale,land,Land,Colombo,Rajagiriya,rajagiriya kalapaluwawa,2200000.0,per_perch,72600000.0,,,,33.0,,,Residential,,,2022-11-08,2023-01-07,LK-11,true,premium,July 2020,Not mentioned in ad
rooms-in-matara-city-for-rent-matara-1,Rooms in Matara city,Comfortable rooms in Matara city center. Just 100 meters from the bus stand and beach. All rooms come with attached bathrooms. Double rooms & family rooms. Air con...,rent,holiday_rental,Holiday & Short-Term Rental,Matara,Matara City,,2000.0,per_night,,,10,10,,,,,Holiday bungalow,,2022-12-24,2023-02-22,LK,true,premium,June 2022,Not mentioned in ad
house-with-land-for-sale-gampaha-for-sale-gampaha-1,House with Land for Sale Gampaha,House & Land for sale in Sapugaskanda. House 1350sqf 3 bedrooms 1 attached bathroom Living room Kitchen. Land 26.5 perches Another old house in this land. York Internatio...,sale,house,Houses For Sale,Gampaha,Kiribathgoda,"594/C, Siyambalape Road, Sapugaskanda. Gampaha.",26000000.0,total,26000000.0,,3,1,26.5,1350.0,,,,,2023-01-18,2023-03-17,LK-12,false,free,November 2022,Not mentioned in ad
land-for-rent-on-a9-road-chavakachcheri-id-rl228-j-for-rent-jaffna,"Land for Rent on A9 Road, Chavakachcheri (ID: RL228-J)",Property ID: RL228-J Call us for viewing appointments. - Property Type: Bare Land (double frontage) - Location: Kaithady - Jaffna (Chavakachcheri Pradeshiya Sabha) -...,rent,land,Land Rentals,Jaffna,Chavakachcheri,,4800000.0,per_year,,400000.0,,,41.98,,,Commercial,,,2023-03-02,2023-05-01,LK-41,true,premium,December 2019,Not mentioned in ad
roohl-hndiytt-nudurin-for-sale-polonnaruwa,බිම් කොටස් පොලොන්නරුව,පදිංචියට හෝ ව්‍යාපාරයකට ඉතා යෝග්‍ය පොලොන්නරුව රෝහල හන්දියට නුදුරින් සෝමාවතිය ප්‍රධාන මාර්ගයට මුහුණලා පර්චස් 20 අගනා බිම් කොටස් ඉතා ඉක්මනින් විකිණේ.,sale,land,Land For Sale,Polonnaruwa,Polonnaruwa City,Polonnaruwa,7000000.0,total,7000000.0,,,,20.0,,,"Commercial, Residential",,,2023-01-16,2023-03-17,LK-72,false,free,,Not mentioned in ad
jaa-ael-ngrytt-nudurin-aevriyvtt-paaren-bim-kotts-for-sale-gampaha,ජා ඇල නගරයට නුදුරින් ඇවරියවත්ත පාරෙන් බිම් කොටස්,ජාඇල නගරයට නුදුරින් ඇවරියවත්ත පාරෙන් අතුරු පාරටම මුහුණලා ඇති බිම් කොටස් කිහිපයක් විකිනීමට # ගෙවන මිලට වටිනාකමින් ඉහළ බිම් කොටස් # මූලික ගෙවීමෙන් අනතුරුව ඉතිරිය පොලී රහි...,sale,land,Land For Sale,Gampaha,Ja-Ela,"jaela ,Awariyawatta",3600000.0,total,3600000.0,,,,6.0,,,"Commercial, Residential",,,2023-01-03,2023-03-04,LK-12,true,premium,January 2021,Not mentioned in ad
